repo_id,repo_name,repo_path,department_level2_id,department_level2_name,department_level3_id,department_level3_name
clife/419_EDC_Pre_Study/clife-ai-ed-edcloud-stream,clife-ai-ed-edcloud-stream,clife/419_EDC_Pre_Study/clife-ai-ed-edcloud-stream,,,,
clife/419_EDC_Pre_Study/clife-ai-ed-t820-metago,clife-ai-ed-t820-metago,clife/419_EDC_Pre_Study/clife-ai-ed-t820-metago,,,,
clife/QuickDecision/clife-ai-ml-document-parsing-and-chunking,clife-ai-ml-document-parsing-and-chunking,clife/QuickDecision/clife-ai-ml-document-parsing-and-chunking,,,,
clife/QuickDecision/server-clife-agent-sdk,server-clife-agent-sdk,clife/QuickDecision/server-clife-agent-sdk,,,,
clife/QuickDecision/server-decision-module,server-decision-module,clife/QuickDecision/server-decision-module,,,,
clife/clife-ai-service/clife-ai-ml-sport-recommend,clife-ai-ml-sport-recommend,clife/clife-ai-service/clife-ai-ml-sport-recommend,,,,
clife/clife-ai-service/clife-ai-nlp-embedding-match,clife-ai-nlp-embedding-match,clife/clife-ai-service/clife-ai-nlp-embedding-match,,,,
clife/clife-ai-service/server-aiplatform-balance-accounts,server-aiplatform-balance-accounts,clife/clife-ai-service/server-aiplatform-balance-accounts,,,,
clife/clife-ai-service/server-aiplatform-business-gateway,server-aiplatform-business-gateway,clife/clife-ai-service/server-aiplatform-business-gateway,,,,
clife/computer_vision_beauty/clife-ai-cv-Mllm-Video-Event-System-PR,clife-ai-cv-Mllm-Video-Event-System-PR,clife/computer_vision_beauty/clife-ai-cv-Mllm-Video-Event-System-PR,,,,
clife/computer_vision_beauty/clife-ai-cv-PhysicalAI-Ethnic-Fashion-Show,clife-ai-cv-PhysicalAI-Ethnic-Fashion-Show,clife/computer_vision_beauty/clife-ai-cv-PhysicalAI-Ethnic-Fashion-Show,,,,
clife/computer_vision_beauty/clife-ai-cv-ar-sculpting-beauty,clife-ai-cv-ar-sculpting-beauty,clife/computer_vision_beauty/clife-ai-cv-ar-sculpting-beauty,,,,
clife/computer_vision_beauty/clife-ai-cv-headgear,clife-ai-cv-headgear,clife/computer_vision_beauty/clife-ai-cv-headgear,,,,
clife/computer_vision_beauty/clife-ai-cv-magnifier-analysis,clife-ai-cv-magnifier-analysis,clife/computer_vision_beauty/clife-ai-cv-magnifier-analysis,,,,
clife/computer_vision_beauty/clife-ai-cv-osmo-coding,clife-ai-cv-osmo-coding,clife/computer_vision_beauty/clife-ai-cv-osmo-coding,,,,
clife/computer_vision_beauty/clife-ai-cv-skin-application-triton,clife-ai-cv-skin-application-triton,clife/computer_vision_beauty/clife-ai-cv-skin-application-triton,,,,
clife/computer_vision_beauty/clife-ai-cv-skin-sensitive,clife-ai-cv-skin-sensitive,clife/computer_vision_beauty/clife-ai-cv-skin-sensitive,,,,
clife/computer_vision_beauty/clife-cv-fitness-counter_v2,clife-cv-fitness-counter_v2,clife/computer_vision_beauty/clife-cv-fitness-counter_v2,,,,
clife/computer_vision_service/clife-ai-cv-SentinelEnhance,clife-ai-cv-SentinelEnhance,clife/computer_vision_service/clife-ai-cv-SentinelEnhance,,,,
clife/computer_vision_service/clife-ai-cv-keypoint-detection,clife-ai-cv-keypoint-detection,clife/computer_vision_service/clife-ai-cv-keypoint-detection,,,,
clife/computer_vision_service/clife-ai-cv-youshibao-ReID,clife-ai-cv-youshibao-ReID,clife/computer_vision_service/clife-ai-cv-youshibao-ReID,,,,
clife/computer_vision_service/clife-ai-cv-youshibao-get-water-recognition,clife-ai-cv-youshibao-get-water-recognition,clife/computer_vision_service/clife-ai-cv-youshibao-get-water-recognition,,,,
clife/device-import-microservices/slapp,slapp,clife/device-import-microservices/slapp,,,,
clife/education/code-import,code-import,clife/education/code-import,,,,
clife/farm/codeagent/codeagent,codeagent,clife/farm/codeagent/codeagent,,,,
clife/farm/server/file-service,file-service,clife/farm/server/file-service,,,,
clife/farm/server/server-farm-agriculture-service-bff,server-farm-agriculture-service-bff,clife/farm/server/server-farm-agriculture-service-bff,,,,
clife/farm/server/server-farm-water-fertilizer-center,server-farm-water-fertilizer-center,clife/farm/server/server-farm-water-fertilizer-center,,,,
clife/golang/cp,cp,clife/golang/cp,,,,
clife/golang/go-example,go-example,clife/golang/go-example,,,,
clife/homing/clife-homing-cnb-template,clife-homing-cnb-template,clife/homing/clife-homing-cnb-template,,,,
clife/machine_learning/clife-ai-ml-agriculture-agents,clife-ai-ml-agriculture-agents,clife/machine_learning/clife-ai-ml-agriculture-agents,,,,
clife/machine_learning/clife-ai-ml-auto-coder-rag,clife-ai-ml-auto-coder-rag,clife/machine_learning/clife-ai-ml-auto-coder-rag,,,,
clife/machine_learning/clife-ai-ml-beauty-ai-profit,clife-ai-ml-beauty-ai-profit,clife/machine_learning/clife-ai-ml-beauty-ai-profit,,,,
clife/machine_learning/clife-ai-ml-child-language,clife-ai-ml-child-language,clife/machine_learning/clife-ai-ml-child-language,,,,
clife/machine_learning/clife-ai-ml-health-universal-multi-agent,clife-ai-ml-health-universal-multi-agent,clife/machine_learning/clife-ai-ml-health-universal-multi-agent,,,,
clife/machine_learning/clife-ai-ml-llm-filing,clife-ai-ml-llm-filing,clife/machine_learning/clife-ai-ml-llm-filing,,,,
clife/machine_learning/clife-ai-ml-plugins-and-skills,clife-ai-ml-plugins-and-skills,clife/machine_learning/clife-ai-ml-plugins-and-skills,,,,
clife/machine_learning/clife-ai-ml-rag-easy,clife-ai-ml-rag-easy,clife/machine_learning/clife-ai-ml-rag-easy,,,,
clife/machine_learning/clife-ai-ml-voice-activity-detector,clife-ai-ml-voice-activity-detector,clife/machine_learning/clife-ai-ml-voice-activity-detector,,,,
clife/meiye/beautycamp-android-common/android-HomingWebSDKDemo,android-HomingWebSDKDemo,clife/meiye/beautycamp-android-common/android-HomingWebSDKDemo,,,,
clife/meiye/meiye-yuyan-pingtai/clife-beautycamp-cnb-template-master,clife-beautycamp-cnb-template-master,clife/meiye/meiye-yuyan-pingtai/clife-beautycamp-cnb-template-master,,,,
clife/nlp/clife-ai-nlp-agentskill,clife-ai-nlp-agentskill,clife/nlp/clife-ai-nlp-agentskill,,,,
clife/nlp/clife-ai-nlp-ai-listening-oral,clife-ai-nlp-ai-listening-oral,clife/nlp/clife-ai-nlp-ai-listening-oral,,,,
clife/nlp/clife-ai-nlp-elderlycarellm-expertmode,clife-ai-nlp-elderlycarellm-expertmode,clife/nlp/clife-ai-nlp-elderlycarellm-expertmode,,,,
clife/nlp/clife-ai-nlp-elderlyhealth-kg,clife-ai-nlp-elderlyhealth-kg,clife/nlp/clife-ai-nlp-elderlyhealth-kg,,,,
clife/nlp/clife-ai-nlp-langgraph-multiAgent,clife-ai-nlp-langgraph-multiAgent,clife/nlp/clife-ai-nlp-langgraph-multiAgent,,,,
clife/nlp/clife-ai-nlp-llm-sft,clife-ai-nlp-llm-sft,clife/nlp/clife-ai-nlp-llm-sft,,,,
clife/nlp/clife-ai-nlp-precision-planting,clife-ai-nlp-precision-planting,clife/nlp/clife-ai-nlp-precision-planting,,,,
clife/nlp/clife-ai-nlp-quick-note,clife-ai-nlp-quick-note,clife/nlp/clife-ai-nlp-quick-note,,,,
clife/pingtai-shujuwajue-guanli/slsvr,slsvr,clife/pingtai-shujuwajue-guanli/slsvr,,,,
clife/zhinengyewuBG/iOS-bagAndPosture,iOS-bagAndPosture,clife/zhinengyewuBG/iOS-bagAndPosture,,,,
